year,claim,ret,dgrowth,pd
1984,growth,-0.07867780223994048,0.013603320149552234,42.8901889249938
1985,growth,0.2667916400968471,0.046403740890043066,50.737636447463984
1986,growth,0.09557038367147319,0.21615376595207314,43.80633101653198
1987,growth,0.023131138890459146,-0.16291556087530024,51.878750102185414
1988,growth,0.06573943523995518,0.1573255674045494,46.20269609520741
1989,growth,0.281343148950161,0.05637682542249661,54.84907028046928
1990,growth,-0.017125247616781802,0.09706826205222732,47.88612289595103
1991,growth,0.4473266510899292,0.03800587898463034,65.53687989292031
1992,growth,0.003513364826434495,-0.0019891583349139763,64.83182956541017
1993,growth,-0.04109189104316924,0.026628265696912706,59.49176595658936
1994,growth,-0.0108760244196624,0.072453969216062,53.7043955290116
1995,growth,0.3542093954546095,0.07770175344607679,66.1485547250371
1996,growth,0.18175629559429907,0.11203684166280073,68.79839120254304
1997,growth,0.2753372721024354,0.024764405303772413,84.48642298002989
1998,growth,0.4047009771382417,-0.0052793079735553305,118.09965298983283
1999,growth,0.2614700941005026,0.07433461926718221,137.12985672134843
2000,growth,-0.1664138264908105,-0.028040717975402057,116.68536809878537
2001,growth,-0.173058463222597,-0.07924561566195329,103.46890356504927
2002,growth,-0.2521518178506903,0.05599042243357333,72.2583091951312
2003,growth,0.22650990093538814,0.12055613801263748,77.42684046351624
2004,growth,0.05466128661874703,0.33654655105503367,57.271203300562014
2005,growth,0.005395178951835167,-0.3458833257842838,80.336129144438
2006,growth,0.06001575952867788,0.04829968017142616,80.08427767935537
2007,growth,0.10853946383509783,0.12290424553472312,77.46236058192285
2008,growth,-0.3664422904947804,0.007220403962477251,47.92768682326298
2009,growth,0.339446178587419,0.06718615649498227,58.839141359379724
2010,growth,0.14767183462826727,0.1274301847206828,58.31505299612333
2011,growth,-0.0006517233080036711,-0.011675754575316444,57.973570455403554
2012,growth,0.1350062639209888,0.2718693742764573,49.12739855043209
2013,growth,0.32727090689461713,0.010786694051161394,63.35356196498248
2014,growth,0.11057177236562343,0.02276297991018006,67.70499510416757
2015,growth,0.058259130041318885,0.1084378575362328,63.27527230286983
1930,value,-0.508454075099785,-0.1724629823249786,15.834711142853457
1931,value,-0.4536128283545522,-1.8300006428948583,53.41914142466117
1932,value,0.36696640381901613,-2.0528397501089954,567.4213491443221
1933,value,1.3824424188900881,,
1934,value,-0.2562446016934765,,1116.5487168907578
1935,value,0.42881864487971555,1.9115468622457858,234.53387887096684
1936,value,0.40088210251942646,1.0938309150803047,108.94994370922574
1937,value,-0.433833517281896,0.7802290088092301,27.49390086949746
1938,value,0.3019851019318076,-0.7492860805767405,74.47487867678949
1939,value,-0.1310802560882698,0.12201647575897279,56.251086649234324
1940,value,-0.10206628719821842,0.5515585122130506,28.03196381038986
1941,value,-0.06356811480247893,0.39770451579399446,16.719380898750675
1942,value,0.2382617291087994,0.29915054538914765,14.193668263514834
1943,value,0.49408747485819426,0.07437799374687211,18.627621439560688
1944,value,0.4816824742189756,0.2307742465270518,20.724092383045242
1945,value,0.4896324176769462,0.14132068288031477,25.616481444122233
1946,value,-0.1670816112065835,-0.0039022612596199546,20.510815556132307
1947,value,-0.02723075900807892,0.06636830465122678,17.588974688978563
1948,value,-0.013659298441178858,0.16135144662754125,13.799661460855624
1949,value,0.18744475627689128,-0.05102460190665464,16.079986028222518
1950,value,0.5358347326666382,0.36557861673661346,15.894665884420927
1951,value,0.05580973514514631,-0.01680327737512277,16.02744932914034
1952,value,0.17980453078016856,-0.005795134950536962,17.908987234776102
1953,value,-0.11901807926429098,0.04780342888146638,14.099752910534855
1954,value,0.6669104252961717,-0.041474689334395576,23.172084416025744
1955,value,0.20933910942993839,0.20638538258038042,21.741152425748627
